"Ind","Sex","Group","variable","value"
"2_45","m","Black","Rad1",335
"2_46","m","Black","Rad1",337
"2_47","m","Black","Rad1",340
"3_1","f","White","Rad1",179
"3_2","f","White","Rad1",182
"3_3","f","White","Rad1",184
"3_4","f","White","Rad1",186
"3_5","f","White","Rad1",188
"3_6","f","White","Rad1",190
"3_7","f","White","Rad1",192
"3_8","f","White","Rad1",194
"3_9","f","White","Rad1",196
"3_10","f","White","Rad1",198
"3_11","f","White","Rad1",201
"3_12","f","White","Rad1",203
"3_13","f","White","Rad1",205
"3_14","f","White","Rad1",207
"3_15","f","White","Rad1",209
"3_16","f","White","Rad1",211
"3_17","f","White","Rad1",213
"3_18","f","White","Rad1",215
"3_19","f","White","Rad1",217
"3_20","f","White","Rad1",220
"3_21","f","White","Rad1",222
"3_22","f","White","Rad1",224
"3_23","f","White","Rad1",226
"3_24","f","White","Rad1",228
"3_25","f","White","Rad1",230
"3_26","f","White","Rad1",232
"3_27","f","White","Rad1",234
"3_28","f","White","Rad1",236
"3_29","f","White","Rad1",239
"3_30","f","White","Rad1",241
"3_31","f","White","Rad1",243
"3_32","f","White","Rad1",245
"3_33","f","White","Rad1",247
"3_34","f","White","Rad1",249
"3_35","f","White","Rad1",251
"3_36","f","White","Rad1",253
"3_37","f","White","Rad1",255
"3_38","f","White","Rad1",258
"3_39","f","White","Rad1",260
"3_40","f","White","Rad1",262
"3_41","f","White","Rad1",264
"3_42","f","White","Rad1",266
"3_43","f","White","Rad1",268
"3_44","f","White","Rad1",270
"3_45","f","White","Rad1",272
"4_1","f","Black","Rad1",165
"4_2","f","Black","Rad1",169
"4_3","f","Black","Rad1",173
"4_4","f","Black","Rad1",176
"4_5","f","Black","Rad1",180
"4_6","f","Black","Rad1",184
"4_7","f","Black","Rad1",187
"4_8","f","Black","Rad1",191
"4_9","f","Black","Rad1",195
"4_10","f","Black","Rad1",198
"4_11","f","Black","Rad1",202
"4_12","f","Black","Rad1",205
"4_13","f","Black","Rad1",209
"4_14","f","Black","Rad1",213
"4_15","f","Black","Rad1",216
"4_16","f","Black","Rad1",220
"4_17","f","Black","Rad1",224
"4_18","f","Black","Rad1",227
"4_19","f","Black","Rad1",231
"4_20","f","Black","Rad1",235
"4_21","f","Black","Rad1",238
"4_22","f","Black","Rad1",242
"4_23","f","Black","Rad1",245
"4_24","f","Black","Rad1",249
"4_25","f","Black","Rad1",253
"4_26","f","Black","Rad1",256
"4_27","f","Black","Rad1",260
"4_28","f","Black","Rad1",264
"4_29","f","Black","Rad1",267
"4_30","f","Black","Rad1",271
"4_31","f","Black","Rad1",275
"4_32","f","Black","Rad1",278
"4_33","f","Black","Rad1",282
"4_34","f","Black","Rad1",285
"4_35","f","Black","Rad1",289
"4_36","f","Black","Rad1",293
"4_37","f","Black","Rad1",296
"4_38","f","Black","Rad1",300
"4_39","f","Black","Rad1",304
"4_40","f","Black","Rad1",307
"4_41","f","Black","Rad1",311
"4_42","f","Black","Rad1",315
"4_43","f","Black","Rad1",318
"4_44","f","Black","Rad1",322
"4_45","f","Black","Rad1",325
"1_12","m","White","Rad1",222
"1_9","m","White","Rad1",214
"1_10","m","White","Rad1",217
"1_11","m","White","Rad1",220
"1_2","m","White","Tib1",295
"1_6","m","White","Tib1",311
"1_3","m","White","Tib1",299
"1_4","m","White","Tib1",303
"1_5","m","White","Tib1",307
"1_10","m","White","Tib1",327
"1_7","m","White","Tib1",315
"1_8","m","White","Tib1",319
"1_9","m","White","Tib1",323
"1_1","m","White","Tib1",291
"1_15","m","White","Tib1",347
"1_16","m","White","Tib1",351
"1_17","m","White","Tib1",355
"1_18","m","White","Tib1",359
"1_19","m","White","Tib1",363
"1_20","m","White","Tib1",367
"1_21","m","White","Tib1",371
"1_22","m","White","Tib1",375
"1_23","m","White","Tib1",379
"1_11","m","White","Tib1",331
"1_12","m","White","Tib1",335
"1_13","m","White","Tib1",339
"1_14","m","White","Tib1",343
"1_28","m","White","Tib1",398
"1_29","m","White","Tib1",402
"1_30","m","White","Tib1",406
"1_31","m","White","Tib1",410
"1_32","m","White","Tib1",414
"1_33","m","White","Tib1",418
"1_34","m","White","Tib1",422
"1_35","m","White","Tib1",426
"1_36","m","White","Tib1",430
"1_37","m","White","Tib1",434
"1_38","m","White","Tib1",438
"1_39","m","White","Tib1",442
"1_40","m","White","Tib1",446
"1_41","m","White","Tib1",450
"1_42","m","White","Tib1",454
"1_43","m","White","Tib1",458
"1_44","m","White","Tib1",462
"1_45","m","White","Tib1",466
"1_46","m","White","Tib1",470
"1_47","m","White","Tib1",474
"2_1","m","Black","Tib1",301
"2_2","m","Black","Tib1",306
"2_3","m","Black","Tib1",310
"2_4","m","Black","Tib1",315
"2_5","m","Black","Tib1",320
"2_6","m","Black","Tib1",324
"2_7","m","Black","Tib1",329
"2_8","m","Black","Tib1",333
"2_9","m","Black","Tib1",338
"2_10","m","Black","Tib1",342
"2_11","m","Black","Tib1",347
"2_12","m","Black","Tib1",352
"2_13","m","Black","Tib1",356
"2_14","m","Black","Tib1",361
"2_15","m","Black","Tib1",365
"2_16","m","Black","Tib1",370
"1_24","m","White","Tib1",383
"1_25","m","White","Tib1",386
"1_26","m","White","Tib1",390
"1_27","m","White","Tib1",394
"2_21","m","Black","Tib1",393
"2_22","m","Black","Tib1",397
"2_23","m","Black","Tib1",402
"2_24","m","Black","Tib1",406
"2_25","m","Black","Tib1",411
"2_26","m","Black","Tib1",415
"2_27","m","Black","Tib1",420
"2_28","m","Black","Tib1",425
"2_29","m","Black","Tib1",429
"2_30","m","Black","Tib1",434
"2_31","m","Black","Tib1",438
"2_32","m","Black","Tib1",443
"2_33","m","Black","Tib1",447
"2_34","m","Black","Tib1",452
"2_35","m","Black","Tib1",456
"2_36","m","Black","Tib1",461
"2_37","m","Black","Tib1",466
"2_38","m","Black","Tib1",470
"2_39","m","Black","Tib1",475
"2_40","m","Black","Tib1",479
"2_41","m","Black","Tib1",484
"2_42","m","Black","Tib1",488
"2_43","m","Black","Tib1",493
"2_44","m","Black","Tib1",498
"2_45","m","Black","Tib1",502
"2_46","m","Black","Tib1",507
"2_47","m","Black","Tib1",511
"3_1","f","White","Tib1",271
"3_2","f","White","Tib1",274
"3_3","f","White","Tib1",277
"3_4","f","White","Tib1",281
"3_5","f","White","Tib1",284
"3_6","f","White","Tib1",288
"3_7","f","White","Tib1",291
"3_8","f","White","Tib1",295
